partner_id,partner_name,city,vehicle_type,rating
DP0000001,Kavya Reddy,Bangalore,Scooter,3.2
DP0000002,Aarav Bhatt,Kolkata,E-Bike,3.8
DP0000003,Neha Mukherjee,Pune,Bike,3.5
DP0000004,Saanvi Jones,Pune,Scooter,4.5
DP0000005,Nikhil Anderson,Bangalore,Scooter,3.5
DP0000006,Jennifer Davis,Hyderabad,E-Bike,4.1
DP0000007,William Johnson,Delhi,Scooter,4.5
DP0000008,Saanvi Joshi,Hyderabad,Scooter,4.6
DP0000009,Patricia Jones,Bangalore,Bike,4.5
DP0000010,Kabir Malhotra,Bangalore,Bicycle,4.7
DP0000011,Krishna Wilson,Mumbai,Bicycle,3.6
DP0000012,Sneha Singh,Mumbai,Bike,3.4
DP0000013,Ananya Verma,Hyderabad,Bicycle,3.3
DP0000014,William Reddy,Delhi,Scooter,3.6
DP0000015,John Johnson,Chennai,Bicycle,4
DP0000016,James Reddy,Pune,Bike,3.5
DP0000017,Saanvi Bhatt,Pune,Bicycle,3.7
DP0000018,Patricia Williams,Delhi,Scooter,3.8
DP0000019,Vihaan Singh,Pune,Bike,4.6
DP0000020,Jennifer Brown,Kolkata,Scooter,4.4
DP0000021,Ishaan Patel,Delhi,E-Bike,4.1
DP0000022,Kabir Williams,Bangalore,Bike,3.7
DP0000023,Amit Rao,Delhi,Scooter,3.5
DP0000024,Dhruv Reddy,Kolkata,Scooter,4.4
DP0000025,Karan Singh,Kolkata,Bicycle,4.7
DP0000026,Robert Jones,Kolkata,Bicycle,3.5
DP0000027,Kabir Gupta,Bangalore,Bicycle,4.1
DP0000028,Rahul Bose,Hyderabad,E-Bike,3.3
DP0000029,Saanvi Wilson,Chennai,E-Bike,4.9
DP0000030,Arjun Davis,Pune,Scooter,4
DP0000031,Myra Smith,Chennai,E-Bike,4.5
DP0000032,Amit Chopra,Chennai,Scooter,4
DP0000033,Robert Chopra,Bangalore,Bike,4.8
DP0000034,Michael Nair,Pune,Scooter,4.7
DP0000035,Aadhya Sharma,Hyderabad,E-Bike,3.6
DP0000036,Ishaan Mukherjee,Hyderabad,Bike,4.2
DP0000037,Aarav Bose,Pune,Bicycle,3.8
DP0000038,Riya Davis,Chennai,Bike,4.9
DP0000039,Ishaan Malhotra,Mumbai,Scooter,3.8
DP0000040,John Chatterjee,Kolkata,Bike,4
DP0000041,Aadhya Miller,Kolkata,E-Bike,3.6
DP0000042,Riya Singh,Mumbai,Bicycle,5
DP0000043,Aadhya Mukherjee,Bangalore,E-Bike,3.2
DP0000044,Meera Nair,Kolkata,Bicycle,4.5
DP0000045,Ayaan Rao,Delhi,Bicycle,3
DP0000046,Myra Bose,Bangalore,E-Bike,4.2
DP0000047,Meera Verma,Pune,Bike,4.1
DP0000048,Susan Garcia,Bangalore,Bicycle,4
DP0000049,Meera Mukherjee,Chennai,E-Bike,4
DP0000050,Vikram Williams,Pune,E-Bike,3.3
DP0000051,Krishna Chatterjee,Chennai,Bike,3.7
DP0000052,Myra Rao,Hyderabad,Bicycle,4
DP0000053,Vikram Chatterjee,Chennai,Scooter,3.6
DP0000054,Aryan Williams,Pune,Bicycle,4
DP0000055,Ishaan Wilson,Chennai,Bicycle,4
DP0000056,Ishaan Chatterjee,Bangalore,Bicycle,3.2
DP0000057,David Nair,Pune,Bicycle,4
DP0000058,Neha Nair,Delhi,Bike,5
DP0000059,John Brown,Hyderabad,E-Bike,3.7
DP0000060,Aditya Johnson,Kolkata,Bicycle,4.6
DP0000061,Krishna Iyer,Pune,E-Bike,3.3
DP0000062,Kiara Kapoor,Hyderabad,Bike,3.4
DP0000063,Aarav Kumar,Kolkata,E-Bike,3.4
DP0000064,Arjun Rao,Kolkata,E-Bike,3.4
DP0000065,William Rao,Hyderabad,E-Bike,3.5
DP0000066,Kavya Reddy,Chennai,Scooter,5
DP0000067,Robert Anderson,Pune,E-Bike,4.6
DP0000068,Anjali Joshi,Kolkata,E-Bike,4.5
DP0000069,Arjun Iyer,Delhi,Bicycle,4.3
DP0000070,Linda Mehta,Bangalore,Scooter,4.5
DP0000071,Saanvi Davis,Kolkata,Bicycle,4.8
DP0000072,Diya Singh,Hyderabad,Bike,4
DP0000073,Aadhya Mukherjee,Hyderabad,Bike,4
DP0000074,Kabir Nair,Pune,Bicycle,4.9
DP0000075,Ananya Mehta,Bangalore,E-Bike,4
DP0000076,Sneha Sharma,Chennai,E-Bike,4.2
DP0000077,James Mukherjee,Delhi,E-Bike,4
DP0000078,Jennifer Jones,Hyderabad,Bicycle,4.1
DP0000079,Ananya Kumar,Pune,E-Bike,3.1
DP0000080,Dhruv Anderson,Delhi,Scooter,4.5
DP0000081,David Miller,Bangalore,Scooter,3.7
DP0000082,Raj Garcia,Chennai,Bicycle,4.2
DP0000083,Vivaan Johnson,Delhi,E-Bike,3.3
DP0000084,Meera Malhotra,Kolkata,Scooter,3.6
DP0000085,Neha Smith,Mumbai,Bike,4
DP0000086,Reyansh Rao,Chennai,E-Bike,3.8
DP0000087,Aarav Gupta,Delhi,Scooter,3.9
DP0000088,Neha Singh,Delhi,Bike,4.2
DP0000089,Dhruv Kumar,Kolkata,Scooter,3.6
DP0000090,Patricia Mehta,Chennai,Bicycle,4
DP0000091,Reyansh Wilson,Chennai,Bicycle,4.5
DP0000092,Nikhil Nair,Mumbai,E-Bike,4.6
DP0000093,Vikram Bose,Chennai,Bike,3.5
DP0000094,Vikram Mehta,Kolkata,Scooter,4.6
